"dataset.Type.1" "dataset.Type.2"
"1" "Grass" "Poison"
"2" "Grass" "Poison"
"3" "Grass" "Poison"
"4" "Fire" NA
"5" "Fire" NA
"6" "Fire" "Flying"
"7" "Water" NA
"8" "Water" NA
"9" "Water" NA
"10" "Bug" NA
"11" "Bug" NA
"12" "Bug" "Flying"
"13" "Bug" "Poison"
"14" "Bug" "Poison"
"15" "Bug" "Poison"
"16" "Normal" "Flying"
"17" "Normal" "Flying"
"18" "Normal" "Flying"
"19" "Normal" NA
"20" "Normal" NA
"21" "Normal" "Flying"
"22" "Normal" "Flying"
"23" "Poison" NA
"24" "Poison" NA
"25" "Electric" NA
"26" "Electric" NA
"27" "Ground" NA
"28" "Ground" NA
"29" "Poison" NA
"30" "Poison" NA
"31" "Poison" "Ground"
"32" "Poison" NA
"33" "Poison" NA
"34" "Poison" "Ground"
"35" "Fairy" NA
"36" "Fairy" NA
"37" "Fire" NA
"38" "Fire" NA
"39" "Normal" "Fairy"
"40" "Normal" "Fairy"
"41" "Poison" "Flying"
"42" "Poison" "Flying"
"43" "Grass" "Poison"
"44" "Grass" "Poison"
"45" "Grass" "Poison"
"46" "Bug" "Grass"
"47" "Bug" "Grass"
"48" "Bug" "Poison"
"49" "Bug" "Poison"
"50" "Ground" NA
"51" "Ground" NA
"52" "Normal" NA
"53" "Normal" NA
"54" "Water" NA
"55" "Water" NA
"56" "Fighting" NA
"57" "Fighting" NA
"58" "Fire" NA
"59" "Fire" NA
"60" "Water" NA
"61" "Water" NA
"62" "Water" "Fighting"
"63" "Psychic" NA
"64" "Psychic" NA
"65" "Psychic" NA
"66" "Fighting" NA
"67" "Fighting" NA
"68" "Fighting" NA
"69" "Grass" "Poison"
"70" "Grass" "Poison"
"71" "Grass" "Poison"
"72" "Water" "Poison"
"73" "Water" "Poison"
"74" "Rock" "Ground"
"75" "Rock" "Ground"
"76" "Rock" "Ground"
"77" "Fire" NA
"78" "Fire" NA
"79" "Water" "Psychic"
"80" "Water" "Psychic"
"81" "Electric" "Steel"
"82" "Electric" "Steel"
"83" "Normal" "Flying"
"84" "Normal" "Flying"
"85" "Normal" "Flying"
"86" "Water" NA
"87" "Water" "Ice"
"88" "Poison" NA
"89" "Poison" NA
"90" "Water" NA
"91" "Water" "Ice"
"92" "Ghost" "Poison"
"93" "Ghost" "Poison"
"94" "Ghost" "Poison"
"95" "Rock" "Ground"
"96" "Psychic" NA
"97" "Psychic" NA
"98" "Water" NA
"99" "Water" NA
"100" "Electric" NA
"101" "Electric" NA
"102" "Grass" "Psychic"
"103" "Grass" "Psychic"
"104" "Ground" NA
"105" "Ground" NA
"106" "Fighting" NA
"107" "Fighting" NA
"108" "Normal" NA
"109" "Poison" NA
"110" "Poison" NA
"111" "Ground" "Rock"
"112" "Ground" "Rock"
"113" "Normal" NA
"114" "Grass" NA
"115" "Normal" NA
"116" "Water" NA
"117" "Water" NA
"118" "Water" NA
"119" "Water" NA
"120" "Water" NA
"121" "Water" "Psychic"
"122" "Psychic" "Fairy"
"123" "Bug" "Flying"
"124" "Ice" "Psychic"
"125" "Electric" NA
"126" "Fire" NA
"127" "Bug" NA
"128" "Normal" NA
"129" "Water" NA
"130" "Water" "Flying"
"131" "Water" "Ice"
"132" "Normal" NA
"133" "Normal" NA
"134" "Water" NA
"135" "Electric" NA
"136" "Fire" NA
"137" "Normal" NA
"138" "Rock" "Water"
"139" "Rock" "Water"
"140" "Rock" "Water"
"141" "Rock" "Water"
"142" "Rock" "Flying"
"143" "Normal" NA
"144" "Ice" "Flying"
"145" "Electric" "Flying"
"146" "Fire" "Flying"
"147" "Dragon" NA
"148" "Dragon" NA
"149" "Dragon" "Flying"
"150" "Psychic" NA
"151" "Psychic" NA
"152" "Grass" NA
"153" "Grass" NA
"154" "Grass" NA
"155" "Fire" NA
"156" "Fire" NA
"157" "Fire" NA
"158" "Water" NA
"159" "Water" NA
"160" "Water" NA
"161" "Normal" NA
"162" "Normal" NA
"163" "Normal" "Flying"
"164" "Normal" "Flying"
"165" "Bug" "Flying"
"166" "Bug" "Flying"
"167" "Bug" "Poison"
"168" "Bug" "Poison"
"169" "Poison" "Flying"
"170" "Water" "Electric"
"171" "Water" "Electric"
"172" "Electric" NA
"173" "Fairy" NA
"174" "Normal" "Fairy"
"175" "Fairy" NA
"176" "Fairy" "Flying"
"177" "Psychic" "Flying"
"178" "Psychic" "Flying"
"179" "Electric" NA
"180" "Electric" NA
"181" "Electric" NA
"182" "Grass" NA
"183" "Water" "Fairy"
"184" "Water" "Fairy"
"185" "Rock" NA
"186" "Water" NA
"187" "Grass" "Flying"
"188" "Grass" "Flying"
"189" "Grass" "Flying"
"190" "Normal" NA
"191" "Grass" NA
"192" "Grass" NA
"193" "Bug" "Flying"
"194" "Water" "Ground"
"195" "Water" "Ground"
"196" "Psychic" NA
"197" "Dark" NA
"198" "Dark" "Flying"
"199" "Water" "Psychic"
"200" "Ghost" NA
"201" "Psychic" NA
"202" "Psychic" NA
"203" "Normal" "Psychic"
"204" "Bug" NA
"205" "Bug" "Steel"
"206" "Normal" NA
"207" "Ground" "Flying"
"208" "Steel" "Ground"
"209" "Fairy" NA
"210" "Fairy" NA
"211" "Water" "Poison"
"212" "Bug" "Steel"
"213" "Bug" "Rock"
"214" "Bug" "Fighting"
"215" "Dark" "Ice"
"216" "Normal" NA
"217" "Normal" NA
"218" "Fire" NA
"219" "Fire" "Rock"
"220" "Ice" "Ground"
"221" "Ice" "Ground"
"222" "Water" "Rock"
"223" "Water" NA
"224" "Water" NA
"225" "Ice" "Flying"
"226" "Water" "Flying"
"227" "Steel" "Flying"
"228" "Dark" "Fire"
"229" "Dark" "Fire"
"230" "Water" "Dragon"
"231" "Ground" NA
"232" "Ground" NA
"233" "Normal" NA
"234" "Normal" NA
"235" "Normal" NA
"236" "Fighting" NA
"237" "Fighting" NA
"238" "Ice" "Psychic"
"239" "Electric" NA
"240" "Fire" NA
"241" "Normal" NA
